Date,Name,CURRENT RATIO,PRICE EARNINGS RATIO,RETURN ON INVESTED CAPITAL,TOTAL DEBT TO TOTAL ASSET,TOTAL DEBT TO TOTAL EQUITY,RETURN ON ASSET RATIO
2000/04/30,A ,2.3134,61.4668,,1.3386,2.1112,
2000/06/30,A ,2.3134,46.4398,,1.3386,2.1112,
2000/07/31,A ,2.1291,46.4398,10.5678,1.6481,2.6316,9.2879
2000/09/29,A ,2.1291,30.2501,10.5678,1.6481,2.6316,9.2879
2000/10/31,A ,2.0504,30.2501,14.0097,1.3056,2.0893,10.9164
2000/12/29,A ,2.0504,28.5961,14.0097,1.3056,2.0893,10.9164
2001/01/31,A ,1.7788,28.5961,12.8715,6.0382,10.0343,8.8998
2001/03/30,A ,1.7788,12.9406,12.8715,6.0382,10.0343,8.8998
2001/04/30,A ,1.6133,12.9406,10.1973,8.5132,13.7642,8.0727
2001/06/29,A ,1.6133,15.9836,10.1973,8.5132,13.7642,8.0727
2001/07/31,A ,1.6605,15.9836,10.1973,8.5132,13.7642,3.5017
2001/09/28,A ,1.6605,22.3258,10.1973,8.5132,13.7642,3.5017
2001/10/31,A ,2.3971,22.3258,10.1973,0,0,2.1937
2001/12/31,A ,2.3971,25.3521,10.1973,0,0,2.1937
2002/01/31,A ,3.2934,25.3521,10.1973,13.5429,21.4829,-2.6455
2002/03/29,A ,3.2934,25.3521,10.1973,13.5429,21.4829,-2.6455
2002/04/30,A ,3.2691,25.3521,10.1973,13.9597,22.4259,-6.8137
2002/06/28,A ,3.2691,25.3521,10.1973,13.9597,22.4259,-6.8137
2002/07/31,A ,2.5429,25.3521,10.1973,13.6304,22.9954,-7.0227
2002/09/30,A ,2.5429,25.3521,10.1973,13.6304,22.9954,-7.0227
2002/10/31,A ,2.2375,25.3521,10.1973,14.0193,24.8541,-12.7494
2002/12/31,A ,2.2375,25.3521,10.1973,14.0193,24.8541,-12.7494
2003/01/31,A ,2.2536,25.3521,10.1973,14.8005,26.4429,-13.3023
2003/03/31,A ,2.2536,25.3521,10.1973,14.8005,26.4429,-13.3023
2003/04/30,A ,2.1481,25.3521,10.1973,15.0978,27.3744,-12.3494
2003/06/30,A ,2.1481,25.3521,10.1973,15.0978,27.3744,-12.3494
2003/07/31,A ,2.0973,25.3521,10.1973,19.1987,42.2794,-31.9817
2003/09/30,A ,2.0973,25.3521,10.1973,19.1987,42.2794,-31.9817
2003/10/31,A ,2.0404,25.3521,10.1973,18.2627,40.7224,-28.3862
2003/12/31,A ,2.0404,25.3521,10.1973,18.2627,40.7224,-28.3862
2004/01/31,A ,2.2842,25.3521,10.1973,18.0138,37.4715,-22.8628
2004/03/31,A ,2.2842,112.1651,10.1973,18.0138,37.4715,-22.8628
2004/04/30,A ,2.2324,112.1651,10.1973,17.2285,36.0841,-19.1436
2004/06/30,A ,2.2324,34.0138,10.1973,17.2285,36.0841,-19.1436
2004/07/31,A ,2.4245,34.0138,9.1041,17.0598,34.5449,4.5244
